session_id,message_id,last_throttle_ts,inv_end_status,has_output,inv_end_after_error,verdict
conv_000120,397f17b9-2583-4bc1-9482-4972db6bebac,2026-06-09T14:05:09.521621+00:00,success,True,True,responded
conv_000121,61d3b282-b8a9-485c-8578-9119589ef9c8,2026-06-09T14:09:13.901891+00:00,success,True,True,responded
conv_000124,f041e5f1-8c0f-43df-b8b7-594913076f09,2026-06-09T14:05:07.661102+00:00,success,True,True,responded
conv_000126,1b2c09d1-7e92-47e4-9e02-79f78ec2ba19,2026-06-09T14:05:25.017837+00:00,success,True,True,responded
conv_000127,2496d469-a305-43d2-8e25-8e56fb5e3af7,2026-06-09T14:05:51.189562+00:00,success,True,True,responded
conv_000130,8b249048-fd22-42ac-96d2-5c81ba7f92e8,2026-06-09T14:07:22.613219+00:00,success,True,True,responded
conv_000131,185fe81a-398a-4852-80c8-a364600ea032,2026-06-09T14:06:02.735756+00:00,success,True,True,responded
conv_000133,3d3676e1-afd9-4027-a872-e51aed41cc55,2026-06-09T14:08:57.246003+00:00,success,True,True,responded
conv_000135,745d6178-c4d7-4d2b-84b6-55a4c47995a2,2026-06-09T14:07:40.271823+00:00,success,True,True,responded
conv_000136,d2730dbf-b56b-4102-a474-cef6b4e099cd,2026-06-09T14:09:14.106229+00:00,success,True,True,responded
conv_000139,5a893ae0-1977-41bf-af29-33c73cdb9e66,2026-06-09T14:09:34.837050+00:00,success,True,True,responded
conv_000140,222baa76-4722-4d41-a3c2-df76e117418d,2026-06-09T14:09:22.648358+00:00,success,True,True,responded
conv_000141,39a41369-310d-469d-871e-ec26877cbc99,2026-06-09T14:09:17.159179+00:00,success,True,True,responded
conv_000142,a4ce96c6-68f2-48a7-b0a8-a74eb9b82329,2026-06-09T14:07:55.994921+00:00,success,True,True,responded
conv_000144,e18efda1-7067-4734-844c-f16c74d872ce,2026-06-09T14:09:09.434113+00:00,success,True,True,responded
conv_000145,0773d1a9-901f-41ed-9d38-1bdcf41a04ad,2026-06-09T14:08:55.744964+00:00,success,True,True,responded
conv_000724,70dcb301-7c6e-4315-887e-ca4f5e00590e,2026-06-09T14:23:04.822286+00:00,success,True,True,responded
conv_000775,9bd98e42-387c-481e-b0c7-96dbfe78c477,2026-06-09T14:22:36.689548+00:00,success,True,True,responded
conv_000777,8d8991e8-3dbb-4e93-a09d-f5c1a56d506d,2026-06-09T14:23:00.214611+00:00,success,True,True,responded
conv_000784,03d6e5a3-9d91-47c7-a159-f4b2219598fe,2026-06-09T14:23:13.787265+00:00,success,True,True,responded
conv_000786,013e8b6e-0865-4ca1-8488-d9d363249a59,2026-06-09T14:22:49.045512+00:00,success,True,True,responded
conv_000787,fd40b558-1412-46df-bdc3-1de6c2c3708c,2026-06-09T14:22:56.688209+00:00,success,True,True,responded
conv_000788,1addbb1c-f01e-417f-9d1f-5f662ceffd71,2026-06-09T14:22:55.381593+00:00,success,True,True,responded
conv_000789,8181ad90-020e-4d77-be00-f21b672a86a2,2026-06-09T14:22:26.209364+00:00,success,True,True,responded
conv_000790,4bd3a4fa-b390-4785-a9ec-1fbff8adffe6,2026-06-09T14:22:55.907863+00:00,success,True,True,responded
conv_000791,44458dd6-0dd5-4412-bd57-556c9aa27527,2026-06-09T14:22:29.656450+00:00,success,True,True,responded
